Author,Date,Text,Location,TweetedFromLocation,RetweetStatus,RetweetCount
cleveland19news,2019-11-05 22:57:00,NCAAs 1st D 1 basketball recruit with autism will be available to play for Kent State University in season opener ,"Cleveland, OH",Nan,False,0
_bjorm,2019-11-05 22:57:00,"RT sdv 32 A Greenville University RA heard that a couple was laying in bed together, this was the aftermath ",somewhere being cute ,Nan,False,0
ClarkUniversity,2019-11-05 22:57:01,"Clark University is proud to be located in Worcester, MA the second largest city in New England and a vibrant c ","Worcester, Mass.",Nan,False,0
uncannie1,2019-11-05 22:57:01,RT ChristopherTodd STUinSD always a good read on the state of energy production... ,nan,Nan,False,0
CDDVault,2019-11-05 22:57:01,"In case you missed it, check out ""CDD Spotlight Interview with Ronnett Seldon, University of Cape Town, South Afric ","Burlingame, CA",Nan,False,0
pettiestofall,2019-11-05 22:57:02,RT MARQUINNBOOKER Not at 1876 Not at Alta Vista Agriculture amp Mechanical College of Texas for Colored Youth. Not at Prairie View A amp M Un,"Houston, TX",Nan,False,0
yeah_idgaf2,2019-11-05 22:57:02,"RT ayemojubar ADMISSION ADMISSION Bullion Van University, Lagos First Degree programme form will be out shortly. Prospective candidate",my dey ,Nan,False,0
holycitie,2019-11-05 22:57:02,RT ani5 a University really fucks with your mental health. Check on your friends. Some are really going through it and have no one to tal,nan,Nan,False,0
Rebels4Ever,2019-11-05 22:57:03,"A major loss for guardian, but a major gain for Manchester University....",London,Nan,False,0
ashleyshoo,2019-11-05 22:57:03,"RT DisabilityStor1 StarFeuri This rant was also about being scheduled for things in the university itself, and being unable to do these",United States,Nan,False,0
gf_of_nash,2019-11-05 22:57:03,RT noririi argonavis from BanG Dream project be like a band of actually normal good young men who are furthering their education a b,nan,Nan,False,0
ConversionFit,2019-11-05 22:57:03,"Tune in to whur 96.3 Howard University and The Daily Drum and MoletteGreen. Lets tell Heath, fitness, wellness ",United States,Nan,False,0
KoalaInbound,2019-11-05 22:57:03,"University is really different man. I got asked to hang out, they same to meet them at 12 but I don't know if they ",45 Lampkin Lane,Nan,False,0
OttawaNewsToday,2019-11-05 22:57:03,"RT uOttawaResearch Don't miss the University of Ottawa Press Annual Launch Date Wednesday, November 6 Time 5 p.m. to 7 p.m. Where De",Earth.,Nan,False,0
UYammamman,2019-11-05 22:57:04,Congratulations Dr. Rukaiya Galadima. One of the best graduates in the faculty of Medicine 2019. Best in Obstetr ,"Kano, Nigeria",BUK (New Site),False,0
CivicCentaur,2019-11-05 22:57:05,RT publicintegrity Hundreds of thousands of Canadians are drinking tap water laced with high levels of lead. A torontostar investigation,nan,Nan,False,0
CalenRyan,2019-11-05 22:57:05,Meanwhile in Canada... ,"Winnipeg, Vancouver, Chicago",Nan,False,0
1bonniesher,2019-11-05 22:57:05,RT DavidP4AD This from Statnews DC Diagnosis States who are applying for Fed permission to import from Canada may be waiting a long tim,"Albany, NY",Nan,False,0
RayHC2,2019-11-05 22:57:05,"RT OtagoGrad Oil Firms Bail on Canada If they thought things were getting better, they might hold on, but they dont see things gettin",nan,Nan,False,0
saskatchewanNOW,2019-11-05 22:57:05,Canada rallies with two more wins and Pan Americans ,"Saskatchewan, Canada",Nan,False,0
Kponchose,2019-11-05 22:57:05,RT kikimordi The full Documentary is here SexForGrades BBCAfricaEye ,"Jos, Nigeria D Zeit, Ethiopia",Nan,False,0
Vince97548966,2019-11-05 22:57:06, Randumb Kazify When I popped off and gave ur girl just a little bit of lock jaw baby so cold he from the north he from the Canada,nan,Nan,False,0
val_enz,2019-11-05 22:57:06,RT deedeetoolivee no offense but getting into my top university would SUCK ,United States,Nan,False,0
vbhatt08,2019-11-05 22:57:06,Blasted the hell out of this in university like I buried a man... Damn man I need me a new rihanna album STAT ,"Toronto, Ontario",Nan,False,0
Morgan_Victory,2019-11-05 22:57:07,RT chad novak4 . CMUniversity why are we allowing animal cruelty exploitation to happen on our campus We should be advocates in ending,Michigan,Nan,False,0
CarolKa95730931,2019-11-05 22:57:07,RT AndrewScheer Former Liberal Premier Frank McKenna absolutely nails it. Justin Trudeaus attacks on the energy sector have driven jo,nan,Nan,False,0
RonMacIsaac1,2019-11-05 22:57:08,RT jkenney Former Liberal Premier Frank McKenna gets it. The land locking of Canadian energy has created a huge transfer of wealth from,nan,Nan,False,0
AmritaGenetics,2019-11-05 22:57:08,"RT MicrobiomDigest I just reported a set of 202 papers that were all authored by people from the same university. Image problems, narrow","Cochin, India",Nan,False,0
Tony_with_an_i_,2019-11-05 22:57:08,RT iFooYa It snowed in Canada ,nan,Nan,False,0
keepingupwniyaa,2019-11-05 22:57:08,RT jmarie70194747 Come to Wilberforce University thee First Private HBCU ,"Columbus, OH",Nan,False,0
juandelcerro,2019-11-05 22:57:08," NewsbySmiley Eric Jotkoff CHeathWFTV All kidding aside, the town was a client back in the day, and i truly enjoy ","Miami, FL",Nan,False,0
MichaelMickha,2019-11-05 22:57:08,RT Jopolkadot Bill Brandt Halifax West Yorkshire 1937 ,"Rouen, France",Nan,False,0
Itzmedark17,2019-11-05 22:57:09,University of Chichester Esports Call of duty Modern warfare ,nan,Nan,False,0
neus45,2019-11-05 22:57:10,"RT BBCScotlandNews ""A referendum is not a crime."" A new European Arrest Warrant has been issued for Clara Ponsati, the Catalonian politic",nan,Nan,False,0
Qanuck4truth,2019-11-05 22:57:10,RT cravecreative And THIS ladies amp gentlemen of Canada is how a Leader protects his country amp its citizens from irreversible harm. ,Planet Earth,Nan,False,0
ibsharkbait,2019-11-05 22:57:10,RT NorbertElekes Unemployment rate. S Africa 29.0 Nigeria 23.1 Turkey 13.9 Spain 13.8 Brazil 11.8 Italy 9.5 India 8.5 Fran,United States,Nan,False,0
tradkpop,2019-11-05 22:57:10,RT sorayaamygarcia svttradingusa SvtUSAtrading svttrading kpoptradingpcs tradesinkpop DAY6 Trading day6trade sell tradkpop kpopc,TRADING ONLY,Nan,False,0
p1nkup,2019-11-05 22:57:08,"RT NickiMickeyB You see this STARSHIPent You made this news in Canada, even before the guys even made a tour stop here I will continue",she her ,Nan,False,0
DanGarrett97,2019-11-05 22:57:10,RT aaronMCN A brief and uneventful standoff between police and students on the footbridge outside PolyU ended with police leaving Owan L,Counter hegemonic Resistance in China's Hong Kong Visualizing Protest in the City ,Nan,False,0
DebHawn,2019-11-05 22:57:10,RT cravecreative And THIS ladies amp gentlemen of Canada is how a Leader protects his country amp its citizens from irreversible harm. ,"Farmington, MI",Nan,False,0
AutismGarden,2019-11-05 22:57:10,A heartwarming story ,nan,Nan,False,0
